District,Month,Visitors
Adilabad,January,621850
Adilabad,February,29421
Adilabad,March,9430
Adilabad,April,
Adilabad,May,
Adilabad,June,1909
Adilabad,July,549
Adilabad,August,654
Adilabad,September,3978
Adilabad,October,15128
Adilabad,November,27525
Adilabad,December,61403
Bhadradri Kothagudem ,January,269310
Bhadradri Kothagudem ,February,238140
Bhadradri Kothagudem ,March,79871
Bhadradri Kothagudem ,April,
Bhadradri Kothagudem ,May,
Bhadradri Kothagudem ,June,15399
Bhadradri Kothagudem ,July,15130
Bhadradri Kothagudem ,August,26350
Bhadradri Kothagudem ,September,30957
Bhadradri Kothagudem ,October,49203
Bhadradri Kothagudem ,November,76900
Bhadradri Kothagudem ,December,80842
Hyderabad,January,1157153
Hyderabad,February,868641
Hyderabad,March,321650
Hyderabad,April,
Hyderabad,May,
Hyderabad,June,
Hyderabad,July,
Hyderabad,August,
Hyderabad,September,21861
Hyderabad,October,167510
Hyderabad,November,272276
Hyderabad,December,442895
Jagtial ,January,340174
Jagtial ,February,186484
Jagtial ,March,347014
Jagtial ,April,
Jagtial ,May,
Jagtial ,June,14228
Jagtial ,July,41752
Jagtial ,August,34496
Jagtial ,September,83012
Jagtial ,October,83004
Jagtial ,November,154438
Jagtial ,December,155757
Jangaon ,January,28150
Jangaon ,February,26390
Jangaon ,March,21430
Jangaon ,April,
Jangaon ,May,
Jangaon ,June,
Jangaon ,July,2600
Jangaon ,August,2750
Jangaon ,September,2700
Jangaon ,October,3050
Jangaon ,November,12070
Jangaon ,December,11860
Jayashankar Bhoopalpally,January,50500
Jayashankar Bhoopalpally,February,59000
Jayashankar Bhoopalpally,March,34200
Jayashankar Bhoopalpally,April,
Jayashankar Bhoopalpally,May,
Jayashankar Bhoopalpally,June,
Jayashankar Bhoopalpally,July,5600
Jayashankar Bhoopalpally,August,7000
Jayashankar Bhoopalpally,September,7600
Jayashankar Bhoopalpally,October,8000
Jayashankar Bhoopalpally,November,15000
Jayashankar Bhoopalpally,December,15200
Jogulamba Gadwal ,January,146441
Jogulamba Gadwal ,February,481110
Jogulamba Gadwal ,March,24013
Jogulamba Gadwal ,April,
Jogulamba Gadwal ,May,
Jogulamba Gadwal ,June,26013
Jogulamba Gadwal ,July,88182
Jogulamba Gadwal ,August,106925
Jogulamba Gadwal ,September,131485
Jogulamba Gadwal ,October,116753
Jogulamba Gadwal ,November,228325
